X1,X2,X3,grup
7.23,28,4.08,Giremeyenler 
8.65,36,3.45,Giremeyenler 
13,34.9,4.5,Giremeyenler 
8.71,28.8,4.3,Giremeyenler 
11.32,28.4,3.55,Giremeyenler 
15.67,35.4,3.19,Giremeyenler 
9.5,36,3.08,Giremeyenler 
8.11,37.2,2.7,Giremeyenler 
9.52,36.9,3.15,Giremeyenler 
11.31,33.4,3.33,Giremeyenler 
7.32,35.3,3.45,Giremeyenler 
11.53,31.1,3.58,Giremeyenler 
9.18,28.4,3.87,Giremeyenler 
13.07,28.1,2.85,Giremeyenler 
14.86,28,4.12,Giremeyenler 
7.37,31.7,2.9,Giremeyenler 
10.3,29,3.85,Giremeyenler 
9.76,31.7,3.7,Giremeyenler 
10.7,30.6,3.3,Giremeyenler 
9.08,32.3,4.25,Giremeyenler 
9.4,28.9,3.4,Giremeyenler 
12.4,30,3.68,Giremeyenler 
10.2,25.5,3.6,Giremeyenler 
9,26.4,3.73,Giremeyenler 
10.12,31.2,2.6,Giremeyenler 
11.2,33.4,3.5,Giremeyenler 
11,32.2,3.78,Giremeyenler 
10.4,30.4,3.3,Giremeyenler 
11.5,32.9,3.87,Giremeyenler 
9.77,35.2,3.31,Giremeyenler 
6.62,30.9,2.45,Genç Yedek 1
7.67,34.8,2.25,Genç Yedek 1
6.04,37.4,3.08,Genç Yedek 1
4.27,29.5,2.81,Genç Yedek 1
7.33,31.2,2.62,Genç Yedek 1
9.49,36.3,3.85,Genç Yedek 1
10.79,30.6,2.66,Genç Yedek 1
4.51,27.9,2.99,Genç Yedek 1
10.92,34.9,3.66,Genç Yedek 1
4.64,34.8,3.5,Genç Yedek 1
12.66,24.9,2.8,Genç Yedek 1
4.66,27.8,2.48,Genç Yedek 1
10.13,32.5,3.19,Genç Yedek 1
9.42,34.5,2.04,Genç Yedek 1
7.46,36.3,2.58,Genç Yedek 1
7.69,31.8,3.28,Genç Yedek 1
7.95,30.4,2.25,Genç Yedek 1
7.07,27.3,3.56,Genç Yedek 1
8.17,26.7,2.47,Genç Yedek 1
7.76,32,2.9,Genç Yedek 1
8.13,31.4,3.73,Genç Yedek 1
6.73,28.7,2.81,Genç Yedek 1
6.77,33.6,3.18,Genç Yedek 1
7.14,32.7,3.2,Genç Yedek 1
8.1,30.5,2.64,Genç Yedek 1
7.25,31.1,3.32,Genç Yedek 1
7.87,32.6,2.85,Genç Yedek 1
7.8,32.2,2.75,Genç Yedek 1
7.5,36.3,2.9,Genç Yedek 1
7.93,31.1,3.63,Genç Yedek 1
5.22,33.1,3.66,Genç Ana Kadro
8.21,35.2,3.29,Genç Ana Kadro
6.48,34.4,2.74,Genç Ana Kadro
2.97,34.7,2.75,Genç Ana Kadro
4.55,37.8,2.43,Genç Ana Kadro
4.16,37.1,2.04,Genç Ana Kadro
5.71,36.3,3.36,Genç Ana Kadro
4.65,35.4,2.66,Genç Ana Kadro
6.33,34,3.21,Genç Ana Kadro
7.85,34.5,2.24,Genç Ana Kadro
5.59,36.7,2.63,Genç Ana Kadro
4.92,31.9,2.56,Genç Ana Kadro
4.57,34.6,2.88,Genç Ana Kadro
7.14,32.2,2.85,Genç Ana Kadro
4.9,36,3.45,Genç Ana Kadro
7.44,33.7,2.6,Genç Ana Kadro
5.67,35.6,2.33,Genç Ana Kadro
1.46,38.9,3.55,Genç Ana Kadro
2.97,34.8,3.19,Genç Ana Kadro
8.21,39,3.09,Genç Ana Kadro
4.23,34,2.8,Genç Ana Kadro
2.19,32.6,4.46,Genç Ana Kadro
4.44,33.7,2.97,Genç Ana Kadro
3.75,37.3,2.97,Genç Ana Kadro
4.05,33.8,2.86,Genç Ana Kadro
4.07,35.1,3.74,Genç Ana Kadro
3.4,36,2.8,Genç Ana Kadro
2.4,35.5,2.9,Genç Ana Kadro
4.45,35.5,3.12,Genç Ana Kadro
4.73,40.1,2.09,Genç Ana Kadro
